raw offset	Play89_2.dmp	Play89_3.dmp	Play89_4.dmp	Play89_5.dmp
00D371B2h:	00	20	41	17
00D37390h:	00	4E	01	08
00D373E0h:	00	01	FF	48
00D373F0h:	00	44	4E	80
00D373F1h:	00	FC	FE	07
00D373F8h:	00	4A	01	0C
00D3776Eh:	48	04	09	00
00D37778h:	4A	00	4D	04
00D377A6h:	81	48	02	00
00D377AEh:	5B	40	48	00
00D377AFh:	76	83	D7	00
00D377BEh:	5B	80	04	00
00D377C9h:	75	80	00	A2
00D377E7h:	00	02	01	C0
00D377EAh:	00	19	15	80
00D377F6h:	04	39	48	00
00D377FEh:	F5	BE	48	00
00D377FFh:	13	56	84	00
00D37800h:	B7	11	4A	00
00D37B3Ah:	00	A0	04	4D
00D37BDEh:	00	A0	04	FF
00D37E9Ah:	00	B0	02	01
00D37EE6h:	00	38	80	FF
00D37EE7h:	00	02	07	FF
00D38286h:	00	3F	18	4E
00D3828Ah:	00	33	07	32
00D3828Eh:	00	D8	72	42
00D3828Fh:	00	C1	11	04
00D38290h:	00	4E	07	4C
00D38346h:	00	27	06	AF
00D3834Eh:	00	40	38	C0
00D383E9h:	00	86	40	02
00D38428h:	00	AE	10	02
00D38488h:	00	32	4A	18
00D384B6h:	00	90	18	AB
00D384B7h:	00	62	64	6B
00D384E0h:	00	4A	4E	93
00D384E4h:	00	4E	4D	C2
00D38546h:	00	98	06	4A
00D38550h:	00	13	12	C8
00D38578h:	00	01	28	05
00D38582h:	00	08	0A	4D
00D3858Ah:	00	B0	30	B7
00D385BAh:	00	A0	58	78
00D385FEh:	00	D0	88	65
00D38602h:	00	58	28	6E
00D38CDFh:	00	98	99	0C
00D38D3Eh:	00	0D	12	30
00D38D47h:	00	43	44	0F
00D38D4Ah:	00	28	E8	6D
00D38D4Bh:	00	AE	AF	65
00D38D58h:	00	32	26	74
00D38D78h:	00	01	38	17
00D38D7Ah:	00	07	42	01
00D38D80h:	00	31	32	58
00D38D82h:	00	40	26	1C
00D38D84h:	00	30	41	03
00D38D88h:	00	38	09	B0
00D38D8Ah:	00	42	43	2E
00D38D8Eh:	00	20	72	AF
00D38D90h:	00	32	6C	C8
00D38D92h:	00	26	2B	4A
00D38DA6h:	00	0F	1E	F3
00D38DADh:	00	0C	04	08
00D38DAEh:	00	D5	42	40
00D38DAFh:	00	14	04	FE
00D38E3Ch:	00	3D	C0	63
00D38EA0h:	00	01	4A	18
00D38EA9h:	00	04	80	11
00D38EB1h:	00	04	44	7E
00D38EB9h:	00	04	80	A5
00D39012h:	00	65	DF	01
00D39018h:	00	45	11	A0
00D39046h:	00	65	04	44
00D3904Eh:	00	04	F5	40
00D39086h:	00	18	03	4A
00D390AEh:	00	40	48	4A
00D390AFh:	00	9C	04	FE
00D390B0h:	00	4A	44	11
00D390B1h:	00	FE	FC	04
00D39138h:	00	B7	6F	20
00D39183h:	00	A9	86	04
00D39198h:	00	01	89	04
00D396AEh:	00	4D	80	AF
00D396AFh:	00	89	07	91
00D3977Dh:	00	0C	08	AE
00D39934h:	00	AF	68	90
00D39995h:	00	FE	0C	B0
00D399B3h:	00	A5	08	75
